,ff_train_acc,ff_test_acc,fb_train_acc,fb_test_acc
0,0.947119951248169,0.946399986743927,1.0,0.9697999954223633
1,0.9496999979019165,0.9513999819755554,1.0,0.9722999930381775
2,0.9481199979782104,0.9474999904632568,1.0,0.972599983215332
3,0.9467799663543701,0.9440999627113342,1.0,0.9722999930381775
4,0.9473399519920349,0.948199987411499,1.0,0.9738999605178833
5,0.9502599835395813,0.9488999843597412,1.0,0.972000002861023
6,0.9484399557113647,0.9476999640464783,1.0,0.9734999537467957
7,0.9496999979019165,0.9490000009536743,1.0,0.9710999727249146
8,0.9482399821281433,0.9472999572753906,1.0,0.9734999537467957
9,0.9493399858474731,0.946399986743927,1.0,0.9705999493598938
10,0.9495399594306946,0.9472000002861023,1.0,0.9715999960899353
